	day30_rep3_tbx5_ge	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
HTR1F	2	0	4	1	3
CGGBP1	2479	1261	1989	3794	3625
LOC128031834	0	0	0	0	0
ZNF654	1457	315	748	1431	1746
C3orf38	1178	412	581	1293	1232
LOC105377202	0	0	0	1	1
CSNKA2IP	0	0	0	0	0
EPHA3	292	460	440	967	609
LOC124906381	0	0	0	0	0
LOC101930420	0	0	0	0	0
PROS1	617	1423	1537	2313	2834
ARL13B	786	182	362	398	491
STX19	4	1	2	5	3
DHFR2	263	215	154	160	233
NSUN3	739	204	244	451	467
LOC105373992	0	0	1	2	0
LINC00879	3	0	0	0	1
MTHFD2P1	1	0	0	0	0
MIR8060	0	0	0	1	0
LOC124909397	13	7	10	14	11
EPHA6	39	6	24	58	33
LOC107986103	5	1	0	2	2
LOC101929278	0	0	0	0	0
LOC124906256	0	0	0	0	0
ARL6	190	76	110	218	197
LOC101929298	0	0	0	1	0
CRYBG3	499	495	476	1956	1643
LOC105373994	1	0	1	0	0
RIOX2	392	318	509	722	529
LOC124909398	5	0	1	0	0
GABRR3	0	0	1	0	0
OR5AC2	1	0	0	0	0
OR5H1	1	0	2	0	0
OR5H14	2	0	0	0	0
LOC105373996	0	0	0	0	0
OR5H15	0	0	0	0	0
LOC105373998	0	0	0	0	0
LOC105373997	0	0	0	0	0
LOC101929320	0	0	0	1	0
LOC105373999	1	0	0	0	1
OR5H6	1	0	2	0	0
OR5H2	0	0	2	0	0
OR5K4	0	0	0	0	0
LOC105374000	0	0	0	0	0
OR5K3	0	0	0	0	0
OR5K1	1	0	1	0	0
OR5K2	1	0	0	0	2
CLDND1	3413	1143	2749	2339	2047
GPR15	1	0	0	0	0
CPOX	917	420	1015	389	616
ST3GAL6-AS1	6	6	14	85	61
ST3GAL6	104	115	214	1501	1120
DCBLD2	2633	5540	3639	12764	11499
LOC105374002	6	2	1	9	5
LOC105374003	1	0	0	7	2
LOC124906343	0	0	0	0	0
LOC124909399	0	2	1	0	1
LOC107986104	0	0	0	0	0
LOC105374004	0	1	0	1	1
LOC105374007	4	1	2	1	3
LOC105374005	3	2	9	3	7
LOC124909401	2	4	2	0	7
COL8A1	412	1137	960	143	685
HP09053	6	0	2	8	9
CMSS1	305	122	203	510	330
FILIP1L	3504	3642	5902	2041	8754
MIR3921	0	0	0	0	0
LOC124909400	7	1	7	11	1
LOC105374009	12	0	6	6	6
TMEM30CP	1	1	0	0	0
TBC1D23	2525	1152	1261	1720	2280
NIT2	487	673	671	984	1112
TOMM70	4314	1754	2443	3617	4364
LNP1	91	157	119	392	298
TMEM45A	4043	1669	1507	596	1329
ADGRG7	1	0	9	0	0
TFG	7941	3462	4066	3676	5112
ABI3BP	28	620	48	27	158
LOC124906260	9	6	0	6	3
LOC124906356	0	0	0	0	0
IMPG2	14	23	34	33	30
SENP7	369	340	575	1459	1171
LOC124906362	0	0	0	0	0
FAM172BP	0	0	0	2	0
TRMT10C	937	390	634	1447	1219
PCNP	5599	2433	3712	5387	5349
ZBTB11	1516	321	654	838	1161
ZBTB11-AS1	30	16	25	31	29
LOC124906262	243	177	125	558	638
RPL24	3956	2601	2456	3773	3276
LOC124909402	5	3	4	8	7
PDCL3P4	9	5	8	14	11
CEP97	1175	225	348	841	898
NXPE3	326	394	475	691	817
NFKBIZ	1638	1860	3044	294	1686
RDUR	11	6	1	0	14
LOC101929411	0	0	0	0	0
LOC107986105	0	0	0	0	0
ZPLD1	4	5	10	1	1
LOC105374016	2	3	1	4	1
LOC107986106	0	2	0	0	0
LOC105374017	0	1	0	0	2
LOC105374018	1	0	1	0	0
MIR548AB	0	0	0	0	0
LOC124909491	0	0	0	0	0
LOC124909492	1	0	0	0	1
LOC105374020	11	0	1	4	1
LOC105374021	6	0	2	2	1
LOC107986108	4	0	1	4	1
LOC105374023	0	0	0	0	0
ALCAM	2197	974	1832	3052	3988
LOC124906263	8	0	4	4	0
CBLB	620	643	825	811	1062
LOC105374024	1	1	0	0	0
LOC124909403	1	0	0	0	1
LOC105374026	0	1	0	0	0
LOC105374027	1	0	0	2	0
LOC107986110	0	0	0	4	0
LOC107986112	0	0	0	0	0
LOC101929485	5	2	1	3	2
LOC105374029	1	0	2	4	6
LOC101929534	3	4	1	4	3
LOC124906264	2	2	0	3	2
LOC107986021	0	1	0	0	5
LINC00882	16	17	10	28	33
LOC124909404	0	0	0	1	1
DUBR	143	259	376	348	529
CCDC54	3	6	0	3	21
CCDC54-AS1	1	9	3	19	31
LINC01990	1	1	0	1	0
BBX	6816	1941	1704	3418	3999
LINC00635	0	0	0	0	0
LINC00636	3	0	3	1	2
LOC124906266	8	0	1	2	0
LOC124906265	8	13	19	24	15
CD47	1891	1996	1886	2453	2884
LOC105374031	1	0	0	5	1
LINC01215	2	0	2	2	0
IFT57	1668	658	706	1628	1726
LOC124909405	0	1	0	1	0
HHLA2	3	3	5	1	4
MYH15	50	15	23	38	75
LOC124900545	1	0	0	0	1
LOC124909406	0	0	0	0	2
CIP2A	396	147	578	591	480
LOC124900556	2	2	2	2	0
DZIP3	537	664	642	2058	1860
LOC105374033	0	0	0	0	0
LOC105374034	1	0	0	0	0
RETNLB	3	0	0	0	0
TRAT1	0	0	1	0	0
GUCA1C	1	0	0	2	2
MORC1	4	2	3	27	4
LOC124906382	0	0	0	0	0
MORC1-AS1	0	0	0	0	0
C3orf85	0	0	2	0	0
LINC00488	1	0	0	2	0
DPPA2	1	0	1	14	0
DPPA4	36	2	45	468	11
LINC01205	2	0	1	4	0
MIR4445	0	0	0	0	0
LOC124906267	3	0	0	1	0
LOC105374036	0	0	0	0	0
LOC105374037	1	0	1	0	0
LOC151760	283	107	1021	67	133
NECTIN3-AS1	1	0	1	5	6
NECTIN3	1031	433	769	1094	1220
LOC124909493	16	2	8	15	19
LOC105374038	0	0	3	0	0
LOC105374039	1	0	0	0	1
CD96	9	13	9	5	7
ZBED2	0	47	0	1	2
PLCXD2	469	184	135	282	262
PLCXD2-AS1	2	0	1	1	0
PHLDB2	2058	2074	5127	12452	10077
LOC107984087	0	0	0	0	0
LOC105374040	8	13	5	8	9
ABHD10	644	447	506	1008	935
TAGLN3	6	4	8	720	32
TMPRSS7	2	1	2	13	13
C3orf52	1099	234	1398	448	467
MIR567	0	1	1	2	0
GCSAM	42	26	131	49	62
TBILA	0	0	0	0	0
SLC9C1	13	3	11	11	11
LOC124909407	43	7	32	50	54
LOC105374042	4	16	17	45	91
CD200	171	790	785	1242	845
LOC105374041	1	0	4	0	0
LOC124909408	0	0	1	0	0
BTLA	14	2	3	0	2
ATG3	1066	402	645	1169	1249
SLC35A5	488	580	606	1174	1127
CCDC80	35090	26528	18020	1608	26398
LINC02042	2	0	1	1	0
MIR9900	0	0	0	0	0
CD200R1L-AS1	0	0	0	0	0
CD200R1L	1	1	0	0	0
CD200R1	11	0	16	0	3
GTPBP8	1343	374	547	761	822
NEPRO	1874	806	975	1958	2088
LOC124906268	13	0	1	2	0
LINC02044	28	3	3	18	16
LOC102723430	5	1	5	3	0
LOC124909486	8	23	27	15	36
BOC	670	475	627	364	576
LOC124909409	7	2	6	4	7
LOC127898559	6	12	16	20	26
CFAP44	1	1	1	1	2
CFAP44-AS1	0	1	1	0	0
MIR8076	0	0	0	0	0
SPICE1	8	12	9	18	9
SIDT1	9	1	7	7	5
MIR4446	0	0	0	0	0
LOC124909410	7	1	1	2	0
USF3	537	337	410	488	628
NAA50	4048	1618	3308	3575	4254
ATP6V1A	2756	1026	1400	1194	1897
GRAMD1C	15	4	16	16	17
ZDHHC23	136	23	55	145	198
CCDC191	37	84	42	137	136
LOC105374048	2	1	1	1	1
QTRT2	1093	229	637	426	615
DRD3	2	0	1	2	0
ZNF80	1	0	1	1	0
TIGIT	2	0	0	0	0
LOC124909411	0	0	0	0	0
ZBTB20	399	181	223	521	785
MIR568	0	0	0	0	0
ZBTB20-AS1	0	0	1	4	3
ZBTB20-AS5	1	0	1	1	0
MIR4796	0	0	0	0	0
ZBTB20-AS3	0	0	0	0	0
ZBTB20-AS4	1	1	0	3	6
LOC105374051	0	1	1	0	0
GAP43	227	832	732	916	730
LOC124909412	0	0	0	0	0
LOC124906269	0	0	0	0	0
LSAMP	280	802	870	272	1600
LOC124909413	0	0	0	0	1
LOC105374053	0	0	0	0	0
SNORD155	0	0	0	0	0
LOC107986116	0	1	0	1	0
LOC124909414	2	0	7	1	2
LOC105374052	7	0	5	1	6
LSAMP-AS1	2	0	0	0	0
LINC00903	0	0	0	1	0
TUSC7	1	0	0	0	0
MIR4447	1	1	0	0	0
LINC00901	1	0	0	0	0
LOC124909415	6	2	3	4	1
LOC105374054	0	0	0	0	0
LOC124906271	0	0	0	0	0
LOC105374056	12	2	11	7	1
LOC124906270	15	5	19	4	4
LINC02024	0	0	0	0	0
LOC101926953	0	0	0	0	0
LINC03051	17	89	50	11	6
LOC124909416	0	0	0	0	0
LOC105374058	3	0	0	1	0
LOC105374060	1	0	0	0	0
LOC101926968	0	0	0	0	0
LOC124909417	0	0	0	0	0
LOC105374059	1	0	0	0	0
IGSF11	46	35	9	85	38
IGSF11-AS1	0	1	0	0	0
TEX55	0	0	1	0	0
UPK1B	9	10	23	35	21
B4GALT4	1269	770	1013	837	1309
B4GALT4-AS1	1	0	1	1	1
ARHGAP31	1270	2367	1213	4595	4261
ARHGAP31-AS1	19	15	4	12	17
LOC124906273	131	21	30	116	84
TMEM39A	3430	1536	1532	1022	1753
POGLUT1	483	523	675	817	688
TIMMDC1	2258	1596	1716	3452	2813
CD80	2	1	2	4	0
LOC107986118	0	0	0	0	0
ADPRH	80	0	25	133	52
PLA1A	9	0	21	46	45
POPDC2	3473	5891	2773	29525	22440
COX17	1166	261	419	1656	968
LOC105374063	14	8	19	44	23
LOC105374064	1	0	0	0	0
CFAP91	4	2	5	127	57
NR1I2	0	0	2	0	1
GSK3B	3727	2068	2945	2977	3410
MIR6529	0	0	0	1	0
LOC105374065	1	0	1	0	0
GPR156	15	12	8	12	11
LOC124909418	0	2	1	2	5
LRRC58	2490	767	1025	1422	2278
LRRC58-DT	0	0	1	2	0
LOC124906274	3	0	1	0	0
FSTL1	54414	51965	33776	21725	39903
MIR198	0	0	0	0	0
LOC124900546	134	193	451	115	232
LOC107986121	2	1	1	0	3
NDUFB4	1989	1563	1409	3724	3251
HGD	8	20	31	1	3
RABL3	1142	509	602	881	891
GTF2E1	827	283	576	793	708
LINC02049	1	0	0	0	1
LOC105374069	1	0	0	1	0
STXBP5L	9	5	14	96	79
MIR5682	0	0	0	0	0
POLQ	124	64	405	363	297
ARGFX	9	2	1	3	1
LOC124906360	0	0	0	0	0
FBXO40	16	354	10	720	940
HCLS1	71	133	64	5	44
GOLGB1	10872	4718	3779	7965	10044
IQCB1	1007	294	477	864	735
EAF2	69	56	59	97	94
SLC15A2	121	298	272	1068	525
ILDR1	3	2	0	2	1
LOC101927010	0	0	0	0	0
CD86	1	0	2	0	0
CASR	5	1	6	2	0
CSTA	3	0	0	0	8
MIX23	1206	281	549	897	670
FAM162A	714	764	577	1604	1613
WDR5B	169	183	197	433	380
WDR5B-DT	21	8	7	18	26
KPNA1	5461	1654	2797	4216	4245
LOC107984000	15	4	6	1	2
LOC105374071	1	0	0	1	3
PARP9	437	239	304	328	511
DTX3L	538	273	392	274	588
PARP15	2	0	5	2	1
LOC124909419	3	0	0	3	0
PARP14	1699	563	533	526	972
HSPBAP1	386	72	110	172	145
LOC124906363	0	1	0	1	0
SLC49A4	1119	299	482	425	498
LINC02035	466	77	119	190	232
SEMA5B	26	1020	246	490	160
PDIA5	1657	1340	1744	136	974
MIR7110	14	1	9	0	2
SEC22A	587	265	330	391	461
ADCY5	254	1163	87	6578	6606
LOC124909420	0	0	0	9	1
HACD2	1568	1041	1679	1948	1968
MYLK-AS1	13	11	13	35	42
MYLK	90	2550	2254	723	4441
LOC124909421	3	4	4	19	14
MYLK-AS2	0	0	0	6	3
LOC105369194	3	3	2	17	18
LOC124906346	0	0	0	0	0
CCDC14	1110	1301	1317	2546	2445
ROPN1	0	0	0	0	0
KALRN	948	3426	2588	1744	1740
MIR5002	0	0	0	0	0
LOC105374077	0	1	1	2	1
MIR6083	1	0	1	0	0
LOC105374076	0	0	0	0	1
LOC124906276	1	0	4	4	1
UMPS	1761	463	838	727	924
MIR544B	1	0	0	3	0
ITGB5	3812	13522	6860	3448	6132
LOC124909422	15	10	7	5	10
LOC124906277	0	1	0	1	0
MUC13	9	2	7	4	2
HEG1	5027	6097	8276	3123	11250
LOC124909423	1	33	9	0	4
LOC124906278	4	6	3	4	50
SLC12A8	52	138	118	36	301
MIR5092	0	0	0	0	0
ZNF148	2195	928	1307	2202	2602
LOC105374080	2	1	0	0	1
LOC105374081	0	0	1	0	0
LOC124906351	2	0	0	0	0
SNX4	1765	901	1720	2351	2242
OSBPL11	1125	355	718	984	1204
LOC112267908	59	5	27	20	33
LOC105374312	0	0	0	1	0
LOC124909424	1	0	0	3	1
MIR548I1	0	0	0	0	1
LINC02614	4	7	6	5	7
LOC102723696	15	20	41	19	51
FAM86JP	9	5	13	15	18
ALG1L1P	2	5	3	7	11
ROPN1B	1	1	2	2	2
SLC41A3	1616	984	694	735	847
LOC124909425	0	0	0	0	0
LOC105374085	14	17	18	36	38
ALDH1L1	4	30	2	18	25
ALDH1L1-AS1	1	1	0	0	0
LOC105374083	0	0	0	0	0
ALDH1L1-AS2	0	2	1	1	2
LOC124909426	0	1	1	7	3
LOC107986124	3	1	4	4	2
KLF15	114	97	37	259	247
LOC105374088	0	1	0	0	0
LOC107986044	0	0	0	0	0
CFAP100-DT	0	0	0	0	0
CFAP100	6	3	2	9	5
LOC124906280	0	0	3	2	3
ZXDC	2291	687	856	1758	1871
UROC1	3	0	1	1	2
CHST13	4	12	20	19	14
C3orf22	1	0	0	1	0
LOC105374090	13	25	14	49	80
TXNRD3	127	229	187	269	498
NUP210P1	0	0	0	0	0
CHCHD6	837	438	354	1070	764
PLXNA1	7232	6457	6962	5312	6381
PRR23E	1	0	0	0	0
LOC124906281	0	0	0	0	0
PRR20G	0	0	1	0	0
LINC02016	0	1	0	1	0
LOC105374094	0	0	0	0	1
LINC01471	0	0	3	0	0
LINC02034	6	3	2	38	27
TPRA1	3657	1683	1045	941	1477
MIR6825	0	0	0	0	0
MIR7976	2	0	0	1	0
MCM2	811	906	1111	2338	1821
LOC107986126	0	0	0	0	0
PODXL2	68	553	311	586	383
ABTB1	681	401	99	435	400
MGLL	205	334	308	689	1127
LOC107986127	13	4	7	1	3
LOC107986129	3	1	0	1	1
LOC105374096	1	0	0	0	0
LOC124909427	1	0	0	1	0
KBTBD12	6	0	1	9	5
LOC102723759	143	4	12	11	10
SEC61A1	28358	11290	13191	4155	10346
RUVBL1	1206	899	1451	2144	1848
RUVBL1-AS1	2	0	3	1	2
EEFSEC	182	334	302	743	639
LOC124909428	0	0	1	4	0
LOC124909429	0	0	0	0	0
DNAJB8	0	0	2	0	0
DNAJB8-AS1	0	0	0	0	0
GATA2	498	83	860	225	166
GATA2-AS1	30	6	65	11	9
LOC90246	2	0	9	11	7
LINC01565	5	0	1	1	0
LOC124909430	24	0	2	2	4
RPN1	19807	6975	9513	5940	7884
LOC124900558	0	0	0	0	0
RAB7A	13569	5610	7094	5870	8034
MIR12124	0	0	0	0	0
IFT122P3	60	17	23	22	22
ACAD9-DT	123	58	45	61	63
ACAD9	451	626	741	869	1075
CFAP92	42	15	28	66	49
EFCC1	5	19	2	20	20
GP9	4	0	1	0	0
LOC124906368	0	0	0	0	0
RAB43	192	125	163	23	71
ISY1-RAB43	0	0	0	0	0
ISY1	929	230	304	202	263
CNBP	12858	4511	4859	12053	10256
LOC105374101	13	16	10	29	30
LOC105374102	3	0	0	1	2
COPG1	15004	6508	7678	3557	6377
MIR6826	1	0	2	0	0
HMCES	3062	1108	1601	1643	1747
H1-10	3758	2912	3301	5118	4210
H1-10-AS1	66	66	60	54	38
RPL32P3	297	143	201	256	281
SNORA7B	9	1	8	3	3
EFCAB12	13	25	18	19	18
MBD4	832	620	849	1016	1052
IFT122	192	1045	460	803	1027
RHO	4	0	0	3	1
H1-8	1	0	1	0	0
PLXND1	679	2401	2606	564	1220
LOC124909431	0	0	0	1	0
TMCC1	950	710	836	889	1114
TMCC1-DT	15	25	31	76	57
TRH	14	6	70	78	97
ALG1L2	2	1	1	5	4
LINC02014	5	2	0	4	6
FAM86HP	26	63	48	73	120
LINC02021	1	9	13	33	35
LOC124909432	0	2	2	2	7
LOC107986131	2	4	3	7	12
LOC107986133	3	2	5	4	2
LOC124906285	3	4	6	9	5
LOC124906287	0	0	0	1	0
LOC124909433	0	1	0	4	2
COL6A4P2	5	11	42	55	31
LOC105374106	0	0	0	0	0
COL6A5	23	26	27	0	21
COL6A6	13	1462	201	94	342
PIK3R4	1662	402	577	965	943
LOC107986023	1	3	1	4	5
LOC105374107	1	0	1	0	0
LOC105374108	0	0	0	0	0
ATP2C1	2200	1446	3590	2615	2901
ASTE1	244	107	159	149	203
NEK11	69	32	55	38	73
LOC124909434	0	2	1	0	4
NUDT16-DT	7	11	8	12	12
NUDT16L2P	31	12	18	25	13
NUDT16	1137	1191	1178	2251	2512
LOC107986025	2	3	0	7	3
LOC105374110	2	0	1	0	1
MRPL3	2605	1303	2443	3338	2842
SNORA58	1	1	3	1	1
LOC105374114	5	0	0	4	1
CPNE4	17	284	4	266	140
LOC105374113	0	0	0	0	0
MIR5704	1	0	0	0	0
LOC124906288	2	0	1	0	0
LOC105374111	0	0	0	0	0
TRC-GCA6-1	0	0	0	0	0
TRC-GCA9-1	0	0	0	0	0
ACP3	2	29	34	11	30
LOC124909435	0	0	0	0	1
DNAJC13	1693	1404	1815	3354	3829
LOC124909436	7	3	5	10	5
NPHP3-ACAD11	0	1	0	0	1
ACAD11	0	0	0	0	0
ACKR4	10	16	6	8	20
UBA5	2101	886	1294	1333	1728
NPHP3	311	149	213	158	168
NPHP3-AS1	10	3	1	2	5
LOC105374115	2	16	3	1	10
TMEM108	18	53	67	56	103
TMEM108-AS1	0	2	12	6	40
LOC101927432	6	3	7	4	12
BFSP2	3	0	0	1	1
BFSP2-AS1	2	0	0	0	0
CDV3	17695	9285	11395	7003	11959
LOC124909437	1	0	0	1	3
TOPBP1	1476	618	1581	1683	1377
LOC124909487	9	2	9	16	6
TF	48	12	61	19	19
SRPRB	8502	1503	1877	1057	2522
LOC105374116	0	1	0	0	0
RAB6B	802	250	233	1092	570
C3orf36	1	0	2	0	1
SLCO2A1	60	74	184	35	41
LINC02000	0	0	0	0	0
LOC105374117	11	1	4	8	2
RYK	2295	3180	2772	2929	3740
LINC02004	3	3	2	3	2
LOC105374118	33	12	17	21	16
AMOTL2	20708	6165	8930	6230	9243
MIR6827	2	1	1	1	0
MIR4788	0	0	0	0	0
ANAPC13	2567	1019	1324	1843	1956
CEP63	662	700	654	1463	1331
KY	6	0	4	44	11
EPHB1	2133	7	27	246	37
LOC105374121	1	0	0	0	0
LOC102724019	0	0	0	1	1
LOC105374122	15	19	6	49	45
LOC105374123	1	0	0	0	0
LOC105374124	0	0	0	0	0
PPP2R3A	862	782	1026	3709	2926
MSL2	1191	636	857	983	1004
PCCB	787	965	886	2138	2332
STAG1	3037	863	1421	2431	2541
SLC35G2	303	38	126	121	106
NCK1-DT	127	70	76	119	137
NCK1	1138	337	477	589	704
IL20RB-AS1	3	0	1	0	0
IL20RB	56	47	38	9	26
LOC105374126	1	0	0	2	0
SOX14	1	0	0	62	0
LINC01210	0	0	0	1	0
CLDN18	10	10	44	8	29
LOC105374127	18	21	42	21	33
LOC105374128	15	17	59	17	17
DZIP1L	232	438	698	476	645
A4GNT	1	4	2	5	5
DBR1	965	325	663	506	511
ARMC8	864	848	1086	2247	2079
NME9	18	22	12	53	45
LOC124909438	0	2	0	1	2
MRAS	1356	2855	2861	6533	7245
ESYT3	68	52	110	347	185
CEP70	278	313	291	919	814
FAIM	197	69	148	254	160
PIK3CB	312	289	420	708	862
LOC124906289	0	2	0	3	1
LINC01391	1	1	0	0	0
FOXL2	71	17	22	9	9
FOXL2NB	21	10	12	4	4
PRR23A	4	0	1	0	0
PRR23B	0	0	1	0	0
PRR23C	0	0	3	0	0
BPESC1	4	0	1	2	1
PISRT1	5	0	1	2	0
LOC124906290	5	0	0	1	0
LOC124909439	0	0	0	0	0
MRPS22	2120	659	919	2265	2000
COPB2	12277	6410	8835	7177	10603
COPB2-DT	58	45	36	121	100
RBP2	4	2	15	6	1
RBP1	1029	969	2201	2926	1933
NMNAT3	68	102	22	307	301
CLSTN2	5172	2627	2863	1542	6648
LOC124909440	0	1	1	1	0
LOC124900599	0	0	0	0	1
LOC105374132	0	0	0	0	0
CLSTN2-AS1	0	0	0	0	0
LOC102724068	34	3	32	12	56
TRIM42	2	1	2	0	0
SLC25A36	1836	1267	1562	2262	2470
SPSB4	105	256	299	1247	680
PXYLP1	401	789	285	1560	1523
LOC124909441	10	7	11	27	23
ZBTB38	716	673	968	793	1185
LOC124906291	0	11	4	1	1
RASA2	356	224	610	462	520
LINC02618	0	1	2	0	4
RNF7	3534	1998	2511	2567	2388
GRK7	40	4	15	4	4
LOC105374134	3	0	0	3	0
ATP1B3	5450	1616	3807	1545	1787
LOC124909442	2	0	0	0	2
TFDP2	726	1716	644	2917	2825
GK5	317	320	543	428	625
XRN1	1717	939	965	1896	2449
ATR	790	433	523	726	961
LOC105374136	2	1	1	3	1
PLS1	284	43	230	421	225
TRPC1	290	306	354	819	851
PCOLCE2	5	15	44	38	77
LOC124909443	1	0	0	0	0
LOC100507389	0	0	1	1	0
PAQR9	16	6	7	53	75
PAQR9-AS1	0	0	0	3	8
LOC100289361	23	7	5	25	23
U2SURP	3142	1606	2538	4471	4023
LOC105374138	2	0	0	0	0
CHST2	454	963	1043	177	542
LOC105374137	0	1	1	0	1
SLC9A9	43	122	29	50	168
SLC9A9-AS1	0	0	0	0	0
LOC124906294	0	0	0	0	0
LOC102724120	1	0	0	0	0
DIPK2A	2388	2208	3020	3340	3449
LOC105374140	68	32	32	95	91
LOC124909444	9	0	1	7	3
LOC105374141	2	0	0	0	0
LOC105374142	0	0	1	0	0
LOC105374143	0	1	1	0	0
LOC105374144	2	0	0	0	0
LOC107986138	3	0	0	0	5
LNCSRLR	3	4	6	3	7
PLOD2	3729	7962	5182	1460	4379
LOC105374145	1	1	0	2	2
PLSCR4	244	1302	92	188	916
PLSCR2	9	1	2	2	2
PLSCR1	505	464	675	802	1023
PLSCR5	6	17	24	31	17
LINC02010	0	0	0	0	0
LOC112268449	0	0	0	7	4
LOC124909494	10	0	1	7	0
ZIC4	42	20	13	34	74
ZIC4-AS1	0	0	0	0	0
ZIC1	40	16	15	322	422
LOC440982	0	0	1	10	9
LOC124909495	0	37	0	21	62
LOC102724145	0	0	1	0	1
LOC124909496	0	1	0	2	6
LOC124906206	0	0	0	2	4
LINC02032	0	0	0	1	1
LINC02045	0	0	0	0	0
LINC02046	0	0	1	0	0
LOC105374148	2	0	1	0	0
LOC105374147	5	0	0	0	0
LOC105374150	1	0	0	0	0
AGTR1	41	16	32	12	53
CPB1	4	53	1	2	330
CPA3	0	0	1	0	14
LOC107986045	3	0	0	0	0
GYG1	3114	1608	1604	6798	6083
HLTF	420	528	549	1937	1789
HLTF-AS1	0	0	0	0	0
HPS3	418	345	512	296	402
CP	3	0	7	30	232
LOC101927942	0	1	0	1	2
LOC107986140	0	0	4	1	0
TM4SF18	11	0	44	3	11
TM4SF1	247	101	3751	40	223
TM4SF1-AS1	1	0	2	0	4
LOC105374151	0	0	0	0	0
TM4SF4	9	6	3	1	3
WWTR1	1512	2708	2503	5220	6197
WWTR1-IT1	4	3	12	12	15
WWTR1-AS1	15	13	16	16	21
COMMD2	1703	804	1200	1497	1548
ANKUB1	3	0	2	4	1
RNF13	1300	775	697	745	836
PFN2	1905	3809	3760	7994	6522
LOC646903	45	105	81	213	158
LOC124909445	2	0	0	1	0
LOC105374153	1	0	0	0	0
LINC01998	0	0	1	0	2
LOC105374313	6	0	0	0	0
LINC01213	1	4	0	10	5
LINC01214	1	1	6	4	3
LOC105374154	0	0	1	2	0
LOC107986141	4	2	3	3	4
LOC107986142	5	0	0	2	1
TSC22D2	8102	3893	3301	6747	6999
SERP1	28725	5122	7199	2073	4334
EIF2A	3200	1220	1578	2684	2617
LOC124900547	143	129	109	353	341
SELENOT	5288	1588	2757	3861	3717
ERICH6	0	0	3	0	2
ERICH6-AS1	2	10	15	16	23
LOC101928105	6	0	0	2	2
SIAH2	1274	1229	1886	1501	1557
SIAH2-AS1	8	4	8	8	13
LOC124909447	0	0	0	0	0
MINDY4B	1	0	0	2	0
LOC124909446	0	0	0	0	1
CLRN1	6	1	3	8	0
CLRN1-AS1	0	0	1	4	3
LOC124909448	0	0	0	2	2
MED12L	285	39	204	252	203
GPR171	2	0	2	3	1
P2RY14	3	0	2	13	18
GPR87	171	7	257	3	15
P2RY13	0	0	2	0	0
P2RY12	2	1	0	1	2
IGSF10	9	9	51	160	56
LINC02066	0	0	0	2	0
MIR5186	0	0	0	0	0
LOC105374157	0	0	0	0	0
AADACL2	2	0	1	0	0
AADACL2-AS1	1	0	0	0	0
AADACP1	0	0	8	0	0
AADAC	0	2	56	0	0
SUCNR1	2	1	39	19	34
LOC105374159	0	0	0	0	0
LOC107986047	0	0	0	0	0
LOC101928166	0	0	0	0	0
MBNL1	1805	1244	1699	3385	4495
MBNL1-AS1	68	193	133	327	371
TMEM14EP	0	0	0	0	0
LOC105374163	0	0	0	0	0
LOC102724289	0	0	0	0	0
LOC124909449	0	1	0	0	0
P2RY1	96	379	241	270	399
LOC124909450	0	0	0	0	0
LOC124909451	2	1	0	3	2
RAP2B	2029	695	1492	990	1619
LOC105374164	0	0	3	0	3
LOC105374166	1	0	0	0	2
LINC02006	0	0	0	1	2
LINC02083	0	0	0	0	0
LINC02877	0	0	1	0	0
LOC124900552	0	0	0	0	0
ARHGEF26-AS1	3	3	1	9	8
ARHGEF26	115	217	201	423	346
LOC105374167	11	9	18	12	10
DHX36	3341	1242	1862	3924	3924
LOC124906350	0	0	0	0	0
GPR149	1	0	0	6	1
LOC105374170	0	0	0	0	2
LOC105374171	0	2	0	0	3
MME	4218	6139	7270	136	10394
LINC01487	0	1	0	0	0
STRIT1	3	3	1	1	11
LOC105374172	0	0	0	0	0
PLCH1-AS1	0	0	0	0	0
PLCH1	33	7	27	345	68
PLCH1-AS2	0	0	2	0	0
LOC124906297	0	0	0	3	0
C3orf33	195	85	66	280	259
SLC33A1	5340	615	1147	637	978
LOC105374174	34	5	3	7	6
GMPS	1846	1476	2179	3148	3102
KCNAB1	229	79	67	193	146
KCNAB1-AS2	1	0	0	0	0
KCNAB1-AS1	0	0	0	0	0
LOC124906298	0	0	0	0	0
SSR3	25391	5948	9278	14393	10421
TIPARP-AS1	3	14	5	39	25
TIPARP	1528	425	834	6065	3309
LINC00886	6	3	7	26	13
PA2G4P4	16	8	26	24	26
LEKR1	8	4	6	16	8
LINC00880	0	5	3	74	23
LINC02029	0	1	1	6	2
LINC00881	343	928	234	5238	3638
CCNL1	4066	1423	2195	2797	3039
LOC101928236	32	44	18	60	73
LOC105374179	4	0	6	2	2
VEPH1	19	38	23	86	74
PTX3	212	441	2092	560	2290
SLC66A1L	2	0	7	2	0
SHOX2	14	2	0	335	433
RSRC1	394	256	425	782	679
UC.134	1	0	1	1	0
MLF1-DT	0	0	0	0	0
MLF1	561	486	288	3705	3564
GFM1	2404	1011	1341	3000	3143
LXN	116	704	200	191	501
RARRES1	31	310	52	17	208
LOC100287290	10	22	15	23	12
MFSD1	1580	1019	951	776	1397
