	day32_rep1_wt	day32_rep2_wt	day32_rep1_mut	day32_rep2_mut
LOC105377469	0	0	0	0
LINC01095	0	0	0	0
LSM6	113	99	88	80
REELD1	8	1	2	4
SLC10A7	63	73	107	90
LOC105377472	0	3	0	1
MIR7849	0	0	0	0
POU4F2	3	0	8	5
TTC29	1	4	1	3
LOC105377474	0	0	0	0
LOC105377473	1	3	0	0
LOC105377475	2	3	1	0
LOC105377476	1	0	0	1
MIR548G	0	0	0	0
EDNRA	1124	1207	1108	1118
LOC124900795	89	77	50	52
TMEM184C-DT	26	13	19	21
LOC124900796	3	7	4	4
LINC02507	7	11	30	17
TMEM184C	551	579	652	636
PRMT9	252	221	207	185
ARHGAP10	252	265	196	173
MIR4799	1	0	0	0
NR3C2	71	48	89	75
LOC102724672	3	9	3	3
LOC124900798	0	0	0	1
LOC107986195	1	1	1	3
LOC105377483	0	2	0	0
LOC124900797	0	3	0	0
LOC105377481	0	1	2	0
LOC105377480	0	0	0	0
LINC02430	0	0	0	0
LINC02355	0	1	0	1
LOC107986320	1	0	0	0
IQCM	0	0	0	1
LOC105377479	0	0	0	0
DCLK2	205	232	323	328
LRBA	2304	2321	2167	1997
LOC729558	14	18	22	21
MAB21L2	37	32	12	8
RPS3A	6861	8177	6397	6737
SNORD73B	1	5	4	2
SNORD73A	0	0	0	0
SH3D19	1496	1576	1483	1564
LOC107986196	27	25	22	30
LOC105377485	71	68	51	51
LOC124900799	522	482	414	397
PRSS48	108	103	76	68
FHIP1A-DT	11	9	3	13
FHIP1A	250	280	314	295
GATB	165	157	180	171
LOC107986197	16	19	20	21
LOC127898557	0	0	0	0
LOC105377488	0	0	0	0
LOC102724700	0	0	0	1
LOC127898556	0	0	0	0
LINC03074	0	0	0	0
LINC02273	0	0	1	1
LOC124900800	0	0	1	0
LOC105377489	0	1	0	0
LOC105377490	0	1	0	0
LOC105377492	1	2	1	1
FBXW7	546	548	493	458
FBXW7-AS1	1	4	2	3
MIR3140	2	0	1	2
MIR4453HG	38	36	34	34
MIR4453	0	0	0	0
TMEM154	1	1	0	0
LOC105377495	0	0	0	0
TIGD4	12	5	7	1
ARFIP1	217	234	233	209
FHDC1	15	16	22	9
LOC729870	0	0	1	1
TRIM2	1965	2097	1936	1925
LOC105377496	13	6	10	8
ANXA2P1	18	18	19	17
MND1	85	140	103	83
TMEM131L	273	263	293	333
LOC105377498	0	0	2	0
LOC100419170	1	0	0	0
TLR2	5	4	7	6
RNF175	48	59	6	1
LOC105377499	0	0	0	0
SFRP2	60	78	5	0
LOC101927947	0	2	1	1
DCHS2	15	9	7	10
PLRG1	497	530	518	484
FGB	2	0	0	0
FGA	0	0	0	0
FGG	0	0	0	0
LOC124900169	9	11	4	4
LRAT	324	355	63	64
LOC105377500	0	0	0	0
RBM46	6	4	3	2
LOC105377501	0	0	0	0
NPY2R	0	0	0	0
NPY2R-AS1	0	0	2	0
LOC105377502	0	0	0	0
MAP9	621	632	734	628
MAP9-AS1	5	3	3	4
LOC105377503	2	8	12	9
LOC105377505	1	4	5	4
LOC105377504	0	0	2	1
GUCY1A1	2706	2783	4001	3762
LOC105377506	37	40	41	54
GUCY1B1	137	123	104	99
ASIC5	1	0	0	0
LOC105377507	0	1	0	2
TDO2	0	2	5	4
CTSO	75	40	87	73
LOC102724785	0	0	0	0
LOC105377508	1	1	0	0
LINC02272	0	0	0	0
PDGFC	135	130	156	119
GLRB	58	76	55	46
GRIA2	3	1	3	3
LOC107986238	0	0	0	0
LINC02433	1	2	1	0
LOC105377509	1	0	1	0
LOC124900801	0	0	0	0
GASK1B	439	528	789	773
GASK1B-AS1	54	46	43	65
LOC101928007	12	10	15	12
TMEM144	177	184	213	221
LOC105377510	0	1	0	0
LOC124900802	0	0	2	0
RXFP1	0	0	1	1
C4orf46	288	303	301	253
ETFDH	429	527	480	485
LOC124900922	12	1	4	1
PPID	391	437	469	531
FNIP2	982	1011	1249	1191
C4orf45	7	12	12	9
RAPGEF2	2206	2160	2060	1978
MIR3688-1	0	0	0	0
MIR3688-2	0	0	0	0
LOC107986324	0	0	0	2
LOC105379457	0	0	0	0
LINC02233	0	0	0	0
LOC107986239	0	1	0	1
LINC02477	0	0	0	0
LOC105377513	0	0	0	0
LOC105377514	0	0	0	0
LOC105377515	0	0	0	0
FSTL5	3	6	23	18
LOC101928052	0	1	0	0
LOC124900803	0	0	0	0
LOC124900804	0	0	0	0
LOC105377516	0	1	0	1
MIR4454	0	0	0	0
NAF1	271	327	258	264
LOC101928081	3	3	5	7
LOC105377517	0	1	0	0
NPY1R	47	54	38	32
NPY5R	1	1	0	1
TKTL2	1	0	2	0
LOC124900805	9	6	8	7
TMA16	88	102	93	94
MARCHF1	86	91	125	123
LOC107986325	0	2	4	6
SMIM31	1	0	0	1
APELA	43	44	66	46
TRIM61	2	1	4	0
FAM218A	10	10	17	23
TRIM60	1	0	0	0
TRIM75	2	0	0	1
TMEM192	105	111	122	142
KLHL2	365	401	512	506
GK3	12	19	12	15
LOC124900915	0	1	3	0
MSMO1	510	579	529	478
LOC105377519	0	0	1	0
CPE	685	761	804	714
MIR578	0	1	1	0
LOC105377520	0	1	1	1
LOC124900806	0	0	0	0
LINC01179	0	0	0	0
LOC101928131	0	0	0	0
LOC105377521	0	0	0	0
TLL1	82	83	11	9
SPOCK3	9	7	2	6
LOC105377523	0	0	0	0
ANXA10	3	1	2	3
LOC124900170	0	0	0	0
LOC105377524	5	1	8	7
DDX60	93	97	157	143
LOC124900910	0	0	0	1
DDX60L	243	275	286	304
LOC124900181	1	0	0	2
LOC107986198	143	113	93	96
PALLD	9835	10421	10460	10601
LOC124900807	1861	1847	1865	1618
PALLD-AS1	49	55	54	60
LOC124900808	30	28	33	28
LOC124900809	284	309	289	272
LOC102723331	2101	2179	1979	1855
CBR4	320	306	378	297
LOC107986200	3	0	1	2
LOC105377527	1	2	0	1
SH3RF1	42	50	62	53
LOC105377529	1	1	0	1
NEK1	384	380	383	368
CLCN3	1185	1246	1351	1165
HPF1	166	200	174	205
LOC107986240	0	0	1	0
LOC124900810	0	0	0	1
LOC105377530	0	0	1	0
LINC02275	0	0	0	0
MFAP3L	58	55	72	64
LOC101928198	0	1	0	0
AADAT	151	160	145	146
LOC107986326	7	8	4	8
LINC01612	4	5	2	0
LINC02512	0	0	1	1
LINC02382	0	0	0	0
LOC124900869	0	0	1	0
LINC02431	0	1	0	0
MIR6082	0	0	0	0
LOC105377534	0	0	0	0
LINC02504	0	0	1	0
LOC105377535	0	1	0	0
LINC02174	0	0	0	0
LOC441052	2	0	4	2
GALNTL6	11	2	13	18
LOC124900811	1	0	5	2
GALNTL6-AS1	1	1	3	4
LOC107986201	0	0	0	0
GALNT7-DT	19	15	10	10
GALNT7	440	486	298	326
LOC124900812	100	96	53	50
MIR548T	0	0	0	0
HMGB2	968	1144	744	805
SAP30-DT	23	11	25	26
SAP30	109	114	104	101
SCRG1	32	39	20	29
LOC112268474	105	123	89	95
LOC112267917	277	303	343	316
LOC101928409	125	159	160	131
LOC124900815	107	119	159	110
HAND2	602	714	514	545
HAND2-AS1	729	861	451	468
LOC124900816	139	130	89	91
LOC107986203	0	1	0	1
LINC02269	1	2	1	0
LOC105377543	16	11	6	7
LOC105377544	6	6	3	6
LOC105377546	0	2	2	1
LOC107986204	1	1	0	0
LINC02268	31	31	16	13
FBXO8	159	174	123	110
CEP44	184	180	181	171
LOC105377547	3	6	0	9
MIR4276	0	0	0	0
HPGD	6	12	22	14
LOC105377548	2	7	3	3
LOC124900870	0	0	0	0
LOC105377549	0	0	0	0
LOC105377551	0	0	0	0
GLRA3	1	5	2	1
LOC101928551	0	0	1	0
ADAM29	0	0	0	0
LOC124900871	1	3	0	1
LOC105377552	0	0	0	0
LOC124900872	0	0	0	0
GPM6A	41	33	93	74
GPM6A-DT	2	2	7	6
LOC107984113	18	19	37	45
WDR17	20	15	11	18
SPATA4	2	1	0	1
ASB5	13	5	9	4
SPCS3	599	649	579	555
LOC124900817	5	4	5	4
HAFML	2	1	7	9
VEGFC	40	38	127	127
LINC02509	0	0	0	0
LOC105377557	1	0	0	2
NEIL3	74	97	75	72
LOC105377558	9	7	5	6
AGA	19	33	18	17
AGA-DT	23	27	26	19
LOC124900889	1	0	0	0
LOC105377559	0	2	0	0
LINC01098	0	0	2	0
LOC105377560	2	3	0	0
LINC01099	18	26	20	20
LOC105377561	0	0	0	0
LOC105377562	0	0	0	0
LOC124900186	0	0	0	0
LOC105377563	0	0	0	0
LOC124900818	0	0	0	1
LOC124900623	24	22	15	12
LOC124900819	24	21	7	8
LOC105377567	9	12	11	5
LOC105377565	0	0	1	1
LOC124900820	0	0	0	0
LOC105377568	0	1	1	0
LOC124900821	0	1	0	0
LINC00290	1	0	0	0
LINC02500	0	1	0	0
LOC107986205	1	1	3	1
LOC124900822	1	0	0	0
TENM3	590	593	940	896
TEMN3-AS1	0	0	0	0
TENM3-AS1	54	59	90	81
MIR1305	3	2	2	5
LOC105377572	121	101	190	150
LOC105377571	16	17	27	13
LOC105377576	2	5	5	1
DCTD	186	219	167	183
LOC105377577	0	0	0	0
LOC107986327	1	0	0	0
LOC112268472	0	0	1	0
LOC107986328	0	0	0	0
CIBAR1P2	0	1	1	2
LOC105377578	0	0	0	0
WWC2-AS2	5	1	1	2
WWC2	921	942	965	965
WWC2-AS1	2	3	2	4
LOC124900896	11	7	4	3
CLDN22	0	0	0	0
CLDN24	2	1	2	4
LOC124900894	1	4	4	5
CDKN2AIP	193	207	176	142
LOC124900823	1	3	0	1
ING2-DT	1	5	1	2
ING2	60	80	87	86
LOC101929996	0	0	1	0
LOC105377580	2	0	0	1
LOC124900911	0	0	0	0
RWDD4	83	106	89	82
TRAPPC11	459	548	456	452
LOC105377581	0	0	0	0
LOC124900824	0	1	0	2
STOX2	623	661	494	471
LOC107986330	6	7	4	11
LOC124900826	3	3	4	5
ENPP6	1	4	2	4
LOC105377582	0	0	0	0
LOC105377584	0	0	0	0
LOC124900825	0	0	0	1
MYL12BP2	0	0	0	0
LINC02363	4	3	4	2
LINC02362	13	10	18	19
IRF2	133	151	155	179
LINC02427	3	5	3	4
LINC02365	2	2	0	1
CASP3	1312	1426	962	929
PRIMPOL	71	65	49	55
CENPU	162	147	109	114
ACSL1	724	765	778	669
SLED1	0	4	5	3
LOC105377587	1	0	0	0
MIR3945HG	0	0	1	0
MIR3945	0	0	0	0
LINC01093	0	0	0	1
MIR4455	0	0	0	0
LINC02437	0	1	0	0
HELT	0	0	0	0
LINC02436	0	0	0	0
LOC105377588	0	0	0	0
SLC25A4	3136	3958	4341	4428
CFAP97	296	298	301	311
SNX25	399	438	331	303
LOC124900827	5	3	4	3
LRP2BP	197	213	161	183
ANKRD37	1	2	1	2
UFSP2	84	110	81	80
C4orf47	20	37	22	18
CCDC110	9	6	7	1
LOC105377590	0	0	0	0
PDLIM3	1541	1769	287	299
SORBS2	10370	11103	8272	8471
LOC101928929	2	7	7	6
LOC124900909	0	0	0	0
LOC124900828	0	0	0	0
LOC124900830	0	0	0	0
LOC124900829	1	0	0	0
TLR3	35	35	22	28
FAM149A	76	69	36	45
LOC124900171	15	13	3	4
FLJ38576	2	0	5	5
CYP4V2	97	110	102	119
KLKB1	11	10	29	10
LOC124900873	2	0	0	1
F11	2	2	2	4
F11-AS1	0	1	1	1
LOC124900874	0	0	0	0
LOC105377596	0	0	0	0
MTNR1A	0	0	0	1
FAT1	6083	6171	6271	5993
LOC107986334	24	21	22	23
LOC124900875	1	1	0	0
LOC124900877	0	1	0	0
LOC102723906	0	0	0	1
LOC105377599	0	0	0	0
LOC124900876	0	0	1	0
LOC124900878	0	0	1	0
LINC02374	0	0	0	0
LOC107986335	3	1	0	0
LOC339975	2	1	0	2
LINC02514	1	1	0	0
LINC02515	2	3	0	1
LINC02492	0	0	1	1
LOC105377604	0	0	0	0
LOC124900879	0	0	0	0
LOC105377603	0	0	0	0
LOC107983963	0	1	0	0
LOC124900880	0	1	1	0
LOC124900881	0	2	1	1
ZFP42	0	0	0	0
TRIML2	0	0	0	0
LOC107986337	0	0	0	0
TRIML1	1	0	0	1
LINC02434	0	0	0	0
LOC105377607	0	0	0	0
LOC105377608	0	0	0	0
LOC105377609	2	0	3	3
LINC01060	0	2	4	0
LOC101930028	0	0	0	0
LINC02508	0	0	0	0
LOC105377611	0	0	2	3
LOC105377612	0	0	0	0
LOC105377613	0	1	0	0
LOC124900838	0	0	0	0
LOC105377614	0	0	0	0
LOC105377615	0	0	0	0
LINC01262	0	1	0	0
LOC105377616	0	0	4	1
FRG1-DT	18	15	10	15
LOC124900882	1	2	4	3
LOC105377619	0	0	1	2
LINC01596	1	0	0	0
FRG1	140	138	160	142
FRG2	0	0	0	0
DBET	1	0	0	0
LOC107986338	0	1	1	0
DUX4	0	0	0	0
LOC124900509	0	0	1	0
ANKRD20A12P	0	0	0	0
LOC124900928	0	0	0	0
LOC105374602	0	0	1	0
PLEKHG4B	263	252	389	416
LRRC14B	12	18	22	21
LOC124900929	0	0	0	0
CCDC127	280	307	342	346
SDHA	1166	1249	1441	1380
PDCD6-DT	3	3	2	3
PDCD6-AHRR	0	0	0	0
PDCD6	200	261	231	227
AHRR	0	0	0	0
EXOC3-AS1	12	15	10	15
EXOC3	173	198	180	164
LOC124900930	0	0	2	0
SLC9A3	13	7	9	3
SLC9A3-OT1	0	0	0	0
SLC9A3-AS1	29	34	18	30
LOC107986395	0	0	1	0
MIR4456	0	0	0	0
LOC105374606	0	0	0	0
LOC105374607	0	0	0	0
LOC105374608	0	1	1	1
CEP72-DT	0	0	0	1
CEP72	69	52	66	69
TPPP	58	41	78	71
LOC101929898	17	17	24	23
ZDHHC11B	17	27	29	38
ZDHHC11	44	45	42	29
BRD9	109	98	96	86
TRIP13	142	123	124	130
LOC124900931	0	0	0	0
LINC02982	225	234	238	262
LOC124900932	1	0	0	0
NKD2	2	0	1	0
SLC12A7	79	52	57	62
MIR4635	0	0	0	0
LOC107986396	0	0	0	0
LOC124900189	0	1	0	0
TERLR1	0	0	0	0
SLC6A19	0	0	1	0
SLC6A18	0	0	0	0
TERT	0	0	0	0
MIR4457	0	1	0	0
CLPTM1L	191	243	217	248
LINC01511	0	0	0	0
SLC6A3	0	0	0	1
LPCAT1	115	114	168	133
LOC124901162	7	8	5	11
MIR6075	0	0	1	0
LOC124901161	1	2	0	0
LOC107986397	1	0	0	2
SDHAP3	87	90	93	96
PDCD6P1	50	43	37	57
LOC105374614	0	0	0	0
MIR4277	0	0	0	0
LOC101929003	4	7	8	5
MRPL36	149	197	186	189
NDUFS6	514	666	609	662
LINC02116	0	1	0	0
LOC124901163	0	1	0	0
LOC124901164	10	7	0	2
IRX4	244	210	75	83
IRX4-AS1	19	28	8	13
CTD-2194D22.4	3	5	2	0
LOC124901165	11	16	2	3
LOC105374618	31	27	5	6
LOC124901166	0	0	0	0
LOC100506858	0	0	0	0
LOC124901167	0	0	0	0
LSINCT5	0	1	0	1
IRX2	65	60	83	74
IRX2-DT	4	10	8	12
LOC105374620	0	0	0	0
LOC107983966	0	0	0	0
LOC107984098	0	0	0	1
LOC105374621	0	0	0	0
LINC01377	0	0	0	0
LINC01019	0	0	0	0
LINC02162	0	0	0	0
LINC01017	0	0	0	0
IRX1	1	4	4	13
LOC107986399	10	10	40	37
LOC105374625	0	0	1	0
LOC105374626	0	0	0	0
LINC02063	0	0	0	0
LOC124901168	0	0	0	0
LOC124901169	1	0	0	0
LOC107986400	0	0	0	1
LINC02114	0	0	0	0
LOC105374629	0	0	0	0
LOC105374630	0	0	0	0
LINC01020	0	0	0	0
LINC02121	0	0	0	0
ADAMTS16-DT	0	0	0	0
ADAMTS16	5	3	1	0
LOC101929200	45	32	39	40
ICE1	1043	1162	1167	1115
LOC105374634	0	0	0	0
LOC105374636	0	0	0	0
LINC02145	6	3	3	6
MED10	140	178	143	141
LOC124900933	0	0	0	0
UBE2QL1	15	19	48	51
LOC105374639	30	39	46	51
LINC01018	0	1	3	2
NSUN2	407	468	420	473
SRD5A1	175	195	278	257
LOC124900934	1	0	1	0
LINC02102	0	3	3	3
TENT4A	675	727	623	630
LOC107986401	5	12	8	4
LOC102724943	0	4	1	7
LINC02236	0	0	0	0
MIR4278	0	1	0	0
LOC105374641	0	1	1	1
LOC105374642	0	1	0	1
LINC02196	0	0	0	0
LOC124900935	0	1	0	0
LOC105374643	0	0	0	0
LOC442132	0	0	0	1
LOC105379638	0	0	0	0
LINC02123	0	0	0	0
LOC105374645	0	0	0	0
LINC02142	0	0	0	0
LOC107986403	1	1	0	0
ADCY2	14	17	138	162
LOC105374646	5	3	39	31
CFAP90	0	1	1	2
MTRR	441	492	458	512
FASTKD3	62	63	57	51
LOC124900936	15	16	20	19
LOC124900937	0	0	3	0
LOC102723339	0	0	0	0
LINC02226	0	0	0	0
MIR4458HG	0	0	0	0
MIR4458	0	0	0	0
LOC105374647	1	0	2	0
LOC101929307	5	10	0	1
LINC02199	1	0	0	0
SEMA5A	3133	3057	3323	3173
MIR4636	0	2	0	2
LOC124901170	115	104	140	122
SEMA5A-AS1	37	45	60	32
SNHG18	158	227	209	198
SNORD123	5	5	3	4
LOC101929359	2	0	0	0
TAS2R1	1	5	2	1
LOC124900938	1	0	0	0
LINC02112	1	0	1	1
LOC105374649	0	0	0	0
LINC02221	0	0	0	0
LOC107986405	0	0	0	0
LOC124900939	0	0	0	0
ATPSCKMT	119	127	135	155
CCT5	1960	2170	2327	2304
CMBL	65	72	31	46
LOC105374651	0	0	2	2
MARCHF6-DT	12	22	21	23
MARCHF6	2610	2741	2606	2405
MIR10397	0	0	0	0
ROPN1L-AS1	1	1	0	1
ROPN1L	4	3	6	4
LOC124900940	0	0	1	1
MIR6131	0	0	0	0
LINC02212	0	0	0	1
LINC02213	0	0	0	0
ANKRD33B	171	166	196	205
DAP	358	455	429	435
DAP-DT	14	6	8	8
CTD-2154B17.1	0	0	0	0
LOC105374654	1	1	2	2
CTNND2	301	342	356	416
LOC105374656	0	0	0	1
LOC105374655	0	0	0	0
LINC01194	1	0	0	0
LOC124900941	0	0	0	1
LOC105374657	0	0	0	0
LINC02220	0	0	1	1
LOC105374659	0	0	1	0
LOC105374660	0	0	0	0
LOC124900942	0	0	0	0
DNAH5	23	26	11	11
TRIO	3734	3831	2372	2185
LOC124900943	158	134	119	84
SNORD170	15	12	10	7
OTULINL	11	13	23	20
SNORD141B	1	3	0	1
OTULIN-DT	11	7	7	4
OTULIN	328	378	309	297
ANKH	540	606	504	498
LOC100130744	0	0	0	0
LOC124900944	95	123	88	85
MIR4637	0	0	0	0
LOC105374661	0	0	1	1
LOC107986376	0	0	0	0
LOC124900197	0	0	0	0
LINC02149	0	0	0	0
LOC124900945	0	0	1	2
FBXL7	1646	1754	1120	1104
CTD-2350J17.1	33	32	19	11
LOC124900946	2618	2543	1732	1700
LOC107986343	209	196	135	146
MIR887	0	0	0	1
LOC107986406	65	61	58	56
MARCHF11	44	40	105	160
MARCHF11-AS1	43	33	57	57
LOC105379640	1	1	3	0
MARCHF11-DT	15	31	56	69
LINC02150	1	7	9	9
ZNF622	189	250	257	261
RETREG1	451	552	421	405
RETREG1-AS1	3	5	10	10
MYO10	88	71	239	257
LOC124900947	0	0	0	0
BASP1-AS1	1	1	1	1
MIR10522	0	0	0	0
LOC105374664	0	0	2	1
BASP1	253	318	721	736
LINC02111	0	0	0	2
LINC02217	0	0	0	0
LINC02218	0	0	0	0
H3Y2	0	1	0	0
TAF11L2	0	0	0	0
TAF11L3	0	0	0	0
TAF11L4	0	0	0	0
TAF11L5	0	0	0	0
TAF11L6	0	0	0	0
TAF11L7	0	0	0	0
TAF11L8	0	0	0	0
TAF11L9	0	0	0	0
TAF11L10	0	0	0	0
TAF11L11	0	0	0	0
TAF11L12	0	0	0	0
TAF11L13	0	0	0	0
TAF11L14	0	0	0	0
H3Y1	0	0	0	0
LOC105374666	0	0	0	0
LINC02223	0	0	0	1
LOC124900199	0	0	0	0
LINC02100	0	0	2	0
LOC124901212	0	0	0	0
LOC105374669	0	0	0	0
CDH18	21	7	13	9
LOC105374672	0	0	0	0
LOC124900948	0	0	0	0
CDH18-AS1	0	0	1	1
LINC02241	0	1	2	0
LINC02146	0	0	0	0
LOC105374673	0	0	0	0
LOC105374678	0	1	0	0
LOC102723561	2	2	2	0
LOC124900950	0	0	1	0
LOC124900951	0	0	0	0
GUSBP1	101	121	106	87
LOC124900949	166	175	149	130
LOC105374685	2	6	1	1
CDH12	103	107	96	109
LOC105374683	2	4	0	2
SNORA105A	2	2	1	1
LOC107986345	2	1	1	0
PMCHL1	5	6	2	0
LOC105374682	1	4	1	0
LOC105374681	8	14	6	2
LOC101929617	11	6	7	6
LOC105374686	0	0	0	0
LOC105374687	0	0	0	0
LOC105374688	0	0	0	0
LOC124901171	0	0	0	0
PRDM9	0	0	0	0
LOC124901158	0	0	0	0
LOC107986377	0	0	0	0
LOC124901172	0	0	0	0
LINC02899	0	0	0	0
LOC124901173	0	0	0	2
LOC105374689	0	0	0	0
CDH10	127	121	94	106
LOC124901174	1	0	0	0
LINC02239	1	1	0	0
LINC02228	3	0	2	1
LINC02211	0	0	0	0
LOC124901175	3	1	2	1
LOC124901176	0	0	0	0
TRK-CTT9-1	0	0	0	0
LOC124901159	0	0	0	0
CDH9	0	2	1	3
LOC105374695	0	0	0	0
PURPL	7	18	8	8
LOC124901177	0	0	0	0
LOC105374696	0	0	0	0
LINC02103	0	0	0	0
LOC105374701	0	1	0	0
LOC107986409	0	0	0	1
LOC124901178	0	1	0	0
LSP1P3	0	0	0	0
LOC101929645	0	0	0	0
LOC105374699	0	0	0	0
LINC02109	0	1	0	0
LINC02064	0	0	0	0
LOC105374702	0	0	0	0
LOC105374703	0	0	0	2
LOC105374704	0	0	0	0
LOC105374705	0	0	0	0
LOC105374706	0	0	0	0
LOC105374707	0	0	0	0
LOC124901160	0	0	0	0
LOC124901179	0	0	0	0
LOC124900952	0	0	0	0
CDH6	36	31	16	19
LOC105374709	2	2	1	0
DROSHA	648	697	666	708
C5orf22	644	736	674	655
PDZD2	134	120	181	158
LOC124901200	1	0	2	1
LOC124900953	7	4	18	16
LOC107986346	1	1	2	0
MIR4279	0	0	0	0
LOC105374711	89	92	109	80
GOLPH3	577	678	660	640
MTMR12	394	424	366	375
ZFR	2174	2178	2110	2148
MIR579	1	1	0	0
LOC124900954	0	0	0	0
SUB1	688	867	738	755
LINC02061	0	1	1	0
NPR3	7	11	13	9
LOC124900956	1	0	0	0
LOC124900955	0	2	0	0
LINC02120	0	1	0	0
LOC105374715	1	0	0	0
LINC02160	0	0	0	0
LOC124900637	0	0	0	0
TARS1-DT	12	20	21	21
TARS1	1054	1288	1259	1247
LOC105374717	0	0	0	0
ADAMTS12	477	529	739	734
RXFP3	0	0	1	1
SLC45A2	63	46	60	63
AMACR	7	13	9	8
C1QTNF3-AMACR	9	5	9	9
C1QTNF3	55	68	66	45
LOC646652	36	32	36	21
LOC105374719	3	1	0	1
LOC124900957	0	4	0	0
LOC124900958	0	0	0	0
LOC105374721	0	0	0	0
RAI14-DT	11	6	5	2
RAI14	1989	2173	1723	1619
LOC124900960	310	296	167	159
TTC23L-AS1	37	36	27	33
TTC23L	45	61	36	30
LOC124900959	2	2	1	1
RAD1	368	406	315	322
BRIX1	4	5	4	3
LOC124900961	46	47	39	26
DNAJC21	1759	1938	1594	1709
AGXT2	4	3	2	4
PRLR	17	14	7	6
LOC124901220	0	0	0	0
SPEF2	127	118	142	113
LOC105374724	2	3	5	4
IL7R	1	0	0	4
CAPSL	0	0	0	0
CAPSL-DT	0	0	0	0
UGT3A1	3	1	1	4
UGT3A2	8	11	26	27
LMBRD2	372	374	395	320
MIR580	1	1	0	2
SKP2	439	459	483	469
NADK2	379	413	393	393
NADK2-AS1	25	15	20	17
LOC124900962	44	43	14	25
RANBP3L	65	73	36	54
LOC124900963	3	3	0	2
SLC1A3	1479	1728	685	673
SLC1A3-AS1	508	519	191	205
NIPBL-DT	612	624	499	458
NIPBL	3596	3940	3642	3567
CPLANE1	1119	1147	1113	1129
CPLANE1-AS1	1	3	0	0
NUP155	691	677	599	591
WDR70	174	192	127	151
GDNF	6	4	3	5
GDNF-AS1	0	4	0	3
LINC02117	0	0	0	2
LINC02110	0	0	0	0
LINC02107	0	0	0	1
LOC105374730	0	0	0	0
LINC02119	0	1	0	0
LOC124900966	0	0	0	0
EGFLAM	1	1	1	2
EGFLAM-AS4	0	0	0	0
EGFLAM-AS2	1	0	0	0
EGFLAM-AS1	0	0	0	0
LOC124900965	0	0	0	0
LOC105374732	0	0	0	0
LOC124900964	0	0	0	0
LIFR	1231	1321	1022	924
LIFR-AS1	26	25	11	20
MIR3650	0	0	0	0
LOC105374735	0	2	0	0
OSMR-DT	0	0	0	0
LINC01265	0	0	0	0
LOC107986414	1	1	0	1
OSMR	27	36	22	9
RICTOR	1501	1571	853	854
FYB1	1	1	5	0
C9	0	2	0	1
DAB2	267	275	247	222
LINC02104	0	0	0	0
LINC00603	0	0	0	0
LINC00604	0	0	0	0
LOC105374736	0	0	0	0
LOC124900967	0	0	0	0
LOC105374737	1	1	0	0
LOC124900196	0	0	0	0
PTGER4	57	76	52	46
TTC33	163	161	122	130
PRKAA1	658	693	676	599
LOC124900968	46	43	49	28
LOC124900202	5	4	4	4
RPL37	2318	2827	2391	2704
SNORD72	0	0	1	0
CARD6	5	2	5	15
C7	107	107	831	741
MROH2B	1	1	3	1
LOC105374739	0	0	1	0
C6	6	2	7	9
LOC124900969	0	1	1	1
LOC102723740	1	0	0	0
PLCXD3	691	717	468	487
LOC105374740	1	1	1	1
OXCT1	1445	1452	1293	1299
LOC102723752	66	64	27	45
OXCT1-AS1	6	14	6	9
RIMOC1	1218	1185	943	1000
FBXO4	27	27	22	23
LINC02996	0	1	0	0
GHR	318	335	316	308
CCDC152	7	8	4	8
SELENOP	45	55	46	48
LOC124900970	0	0	0	0
LOC124900971	0	0	0	0
LOC105374745	1	1	0	2
FLJ32255	17	8	14	6
LOC105374746	6	5	3	3
ANXA2R-OT1	16	33	28	22
LOC105374748	22	24	22	12
ANXA2R	10	7	8	7
ANXA2R-AS1	9	12	11	13
LOC100132356	17	13	7	11
LOC100506639	22	27	26	19
LOC124900972	33	37	44	39
ZNF131	259	288	245	245
NIM1K	3	5	5	5
HMGCS1	751	825	673	601
CCL28	0	0	0	0
TMEM267	84	99	91	74
C5orf34-AS1	2	2	2	1
C5orf34	59	67	31	41
LOC124900190	12	11	4	5
PAIP1	679	763	679	702
NNT-AS1	368	421	332	297
NNT	2789	2975	3362	3047
FGF10	134	174	343	346
FGF10-AS1	2	3	9	4
LINC02224	1	1	0	3
MRPS30-DT	45	53	52	42
MRPS30	386	385	363	400
LOC124901180	1	0	1	0
HCN1	310	346	327	328
EMB	138	135	206	176
PARP8	404	389	393	343
LOC124901181	0	0	0	0
LINC02106	0	0	0	0
LOC107986379	0	0	0	0
LOC124901206	0	0	0	0
ISL1-DT	9	16	27	36
ISL1	48	45	130	158
LOC105378959	0	0	0	0
LINC02118	0	0	0	0
LOC105378961	0	0	0	0
LOC105378962	0	0	0	0
LOC105378963	0	0	0	1
PELO-AS1	0	1	0	2
LOC124900973	1	3	0	3
ITGA1	170	175	202	222
PELO	222	232	211	203
ITGA2	43	30	129	111
LOC124900974	0	0	2	3
MOCS2	445	555	563	569
MOCS2-DT	17	19	25	14
LOC107986380	0	0	0	0
LOC105378965	0	0	0	0
FST	49	68	41	25
NDUFS4	279	289	272	269
LOC124900975	3	5	1	4
LINC02105	1	1	0	1
ARL15	407	343	305	308
MIR581	3	4	4	1
LINC01033	0	0	1	1
HSPB3	408	500	516	599
SNX18	333	304	350	333
LINC02998	0	1	0	0
